unix,open,high,low,close,Volume LINK,Volume BTC
1691971200,0.000252,0.000256,0.000252,0.000255,79.525899,0.020239
1691884800,0.000252,0.000256,0.000252,0.000253,13.248394,0.003358
1691798400,0.000252,0.000254,0.000251,0.000253,48.101789,0.012162
1691712000,0.000259,0.000259,0.000253,0.000253,32.074302,0.008130
1691625600,0.000260,0.000262,0.000257,0.000258,55.466332,0.014308
1691539200,0.000248,0.000264,0.000248,0.000262,315.582562,0.082661
1691452800,0.000252,0.000253,0.000248,0.000250,405.728379,0.101310
1691366400,0.000244,0.000253,0.000242,0.000250,670.381876,0.167575
1691280000,0.000247,0.000247,0.000244,0.000244,195.708090,0.047753
1691193600,0.000245,0.000248,0.000245,0.000248,499.637045,0.124030
1691107200,0.000244,0.000246,0.000243,0.000244,1134.420834,0.276322
1691020800,0.000253,0.000265,0.000245,0.000245,3515.737362,0.860125
1690934400,0.000257,0.000261,0.000254,0.000254,226.105270,0.057438
1690848000,0.000255,0.000259,0.000255,0.000258,2130.669533,0.550714
1690761600,0.000259,0.000261,0.000256,0.000257,216.585570,0.055649
1690675200,0.000267,0.000268,0.000254,0.000258,864.632892,0.223266
1690588800,0.000266,0.000268,0.000264,0.000267,4861.925306,1.296675
1690502400,0.000272,0.000273,0.000265,0.000265,61.337169,0.016254
1690416000,0.000270,0.000276,0.000269,0.000272,1002.705886,0.273097
1690329600,0.000252,0.000265,0.000251,0.000264,1301.273383,0.343133
1690243200,0.000262,0.000262,0.000253,0.000254,2423.347204,0.616063
1690156800,0.000260,0.000261,0.000257,0.000261,2921.207504,0.761588
1690070400,0.000264,0.000268,0.000262,0.000262,2025.709366,0.530655
1689984000,0.000274,0.000275,0.000264,0.000264,1111.782129,0.293655
1689897600,0.000279,0.000280,0.000271,0.000271,2617.222898,0.709058
1689811200,0.000233,0.000282,0.000232,0.000276,10216.013568,2.820233
1689724800,0.000232,0.000240,0.000227,0.000231,11003.381001,2.538040
1689638400,0.000240,0.000243,0.000229,0.000232,6248.586178,1.450047
1689552000,0.000219,0.000240,0.000217,0.000238,1377.592903,0.328363
1689465600,0.000228,0.000228,0.000219,0.000219,136.352313,0.029830
1689379200,0.000227,0.000231,0.000226,0.000228,120.461885,0.027517
1689292800,0.000226,0.000233,0.000223,0.000227,699.215432,0.158393
1689206400,0.000206,0.000223,0.000206,0.000222,3317.602932,0.735645
1689120000,0.000203,0.000207,0.000203,0.000206,100.862209,0.020767
1689033600,0.000203,0.000203,0.000202,0.000202,115.860423,0.023412
1688947200,0.000202,0.000204,0.000201,0.000204,203.216448,0.041434
1688860800,0.000205,0.000205,0.000203,0.000203,404.809865,0.082205
1688774400,0.000204,0.000205,0.000204,0.000205,52.153333,0.010680
1688688000,0.000203,0.000204,0.000202,0.000203,1283.843933,0.260171
1688601600,0.000207,0.000208,0.000203,0.000204,1281.234746,0.261449
1688515200,0.000212,0.000212,0.000206,0.000206,53.833702,0.011099
1688428800,0.000212,0.000212,0.000209,0.000211,59.797458,0.012627
1688342400,0.000213,0.000216,0.000213,0.000213,58.760646,0.012527
