unix,open,high,low,close,Volume LINK,Volume USD,return,log_return,SMA_24,volatility_24
1743033600,15.237310,15.774990,15.170220,15.495000,11015.057148,170678.310508,0.088876,0.085146,12.821373,0.054791
1742947200,15.442750,15.975870,14.934020,15.237310,23101.908385,352010.939654,-0.016631,-0.016770,12.916480,0.054621
1742860800,15.134000,15.570170,14.859070,15.442750,16761.490970,258843.514677,0.013483,0.013393,13.036825,0.053987
1742774400,14.420440,15.379110,14.136420,15.134000,23419.737163,354434.302225,-0.019993,-0.020196,13.145695,0.054280
1742688000,14.179450,14.464500,14.179450,14.420440,7026.439104,101324.343513,-0.047149,-0.048297,13.231362,0.055336
1742601600,13.959810,14.472790,13.952380,14.179450,5859.616469,83086.138741,-0.016712,-0.016853,13.312369,0.055441
1742515200,14.205680,14.367710,13.817330,13.959810,38977.515756,544118.714226,-0.015490,-0.015611,13.369023,0.055425
1742428800,15.021660,15.150000,14.078380,14.205680,19584.856583,278216.205464,0.017613,0.017459,13.435155,0.055468
1742342400,13.925110,15.034270,13.585410,15.021660,52806.595553,793242.724155,0.057440,0.055851,13.512410,0.055944
1742256000,14.054000,14.235020,13.444460,13.925110,28296.047957,394025.580367,-0.072998,-0.075799,13.564460,0.057622
1742169600,13.363510,14.252430,13.363510,14.054000,23250.353038,326760.461596,0.009256,0.009213,13.647544,0.056458
1742083200,14.034440,14.180850,13.225520,13.363510,16883.728116,225625.869515,-0.049131,-0.050379,13.676410,0.056848
1741996800,13.661120,14.256850,13.653030,14.034440,13831.502885,194117.397349,0.050206,0.048986,13.806982,0.048634
1741910400,13.016310,14.767700,12.993000,13.661120,159426.578720,2177945.623083,-0.026600,-0.026960,13.898436,0.048452
1741824000,13.455000,13.552820,12.713370,13.016310,38630.660828,502828.656842,-0.047200,-0.048351,13.970722,0.049540
1741737600,13.078650,13.880800,12.648000,13.455000,45335.098173,609983.745918,0.033703,0.033148,13.997962,0.041936
1741651200,12.610000,13.631320,11.894830,13.078650,71671.740845,937369.613402,-0.027971,-0.028370,14.005683,0.042391
1741564800,13.734660,14.550470,12.351290,12.610000,65753.127227,829146.934332,-0.035833,-0.036491,13.994744,0.043069
1741478400,15.223230,15.360300,13.615270,13.734660,41537.612477,570504.984583,0.089188,0.085432,14.028204,0.046763
1741392000,15.958740,16.014420,15.143100,15.223230,13917.111684,211863.392101,0.108381,0.102900,14.078922,0.048871
1741305600,17.043000,17.510660,15.758960,15.958740,78474.175869,1252348.969408,0.048315,0.047184,14.182445,0.048777
1741219200,16.422680,17.649000,16.399820,17.043000,128222.594450,2185297.677211,0.067941,0.065733,14.334846,0.050148
1741132800,14.869170,16.571040,14.654610,16.422680,56318.440551,924899.727268,-0.036397,-0.037076,14.454451,0.051082
1741046400,14.410700,15.343680,13.100000,14.869170,109630.306545,1630111.665170,-0.094595,-0.099373,14.481072,0.054481
1740960000,17.430870,17.543200,14.394860,14.410700,48393.158971,697379.295983,-0.030834,-0.031319,14.435892,0.051709
1740873600,14.769660,17.538000,14.387870,17.430870,166913.891357,2909454.341438,0.209578,0.190272,14.527291,0.067181
1740787200,14.823030,15.106020,14.248060,14.769660,31430.372094,464215.909502,-0.152672,-0.165668,14.499245,0.074697
1740700800,15.103000,15.171000,13.443480,14.823030,126151.886401,1869953.196679,0.003613,0.003607,14.486288,0.074567
1740614400,15.241240,15.761570,14.768070,15.103000,25304.357308,382171.708423,0.018888,0.018711,14.514728,0.073900
