unix,open,high,low,close,Volume BTC,Volume USDC
1664326800,19075.000000,19130.000000,18945.000000,18974.000000,0.273425,5187.957601
1664323200,19102.000000,19204.000000,19102.000000,19204.000000,0.004225,81.138244
1664319600,19082.000000,19161.000000,19074.000000,19121.000000,0.525051,10039.507628
1664316000,18952.000000,19061.000000,18952.000000,19048.000000,0.330627,6297.783096
1664312400,19059.000000,19059.000000,18941.000000,18994.000000,1.585922,30123.002468
1664308800,19070.000000,19094.000000,19033.000000,19040.000000,0.873451,16630.516370
1664305200,19110.000000,19156.000000,18982.000000,19106.000000,1.026899,19619.937071
1664301600,18987.000000,19152.000000,18883.000000,19114.000000,0.773827,14790.923735
1664298000,19119.000000,19119.000000,18900.000000,19005.000000,0.699285,13289.916366
1664294400,19930.000000,19930.000000,18945.000000,19132.000000,11.972664,229061.011474
1664290800,20150.000000,20150.000000,19943.000000,19944.000000,0.471700,9407.584800
1664287200,20130.000000,20182.000000,20130.000000,20154.000000,0.884927,17834.817549
1664283600,20125.000000,20311.000000,20110.000000,20243.000000,0.043681,884.237317
1664280000,20319.000000,20328.000000,20319.000000,20328.000000,0.016489,335.188392
1664276400,20216.000000,20315.000000,20184.000000,20225.000000,0.091249,1845.501722
1664272800,20190.000000,20261.000000,20190.000000,20215.000000,0.454601,9189.752342
1664269200,20132.000000,20189.000000,20101.000000,20189.000000,0.477007,9630.291497
1664265600,20201.000000,20216.000000,20139.000000,20148.000000,0.047787,962.817312
1664262000,20205.000000,20258.000000,20172.000000,20179.000000,0.078337,1580.762121
1664258400,20257.000000,20313.000000,20216.000000,20227.000000,0.052027,1052.344263
1664254800,20057.000000,20189.000000,20044.000000,20189.000000,0.102742,2074.262276
1664251200,20035.000000,20063.000000,19997.000000,20046.000000,0.145938,2925.481367
1664247600,20005.000000,20151.000000,20005.000000,20135.000000,0.012823,258.181440
1664244000,19719.000000,20000.000000,19719.000000,20000.000000,7.964299,159285.974400
1664240400,19696.000000,19786.000000,19696.000000,19786.000000,0.061482,1216.482852
1664236800,19219.000000,19318.000000,19219.000000,19318.000000,0.046051,889.613218
1664233200,19192.000000,19192.000000,19192.000000,19192.000000,0.007072,135.728511
1664229600,19157.000000,19158.000000,19144.000000,19144.000000,0.009582,183.445274
1664226000,19116.000000,19123.000000,19082.000000,19106.000000,0.026123,499.114254
1664222400,19183.000000,19183.000000,19109.000000,19121.000000,0.065020,1243.251435
1664218800,19182.000000,19243.000000,18623.000000,19240.000000,5.109026,98297.651390
1664215200,19162.000000,19162.000000,19159.000000,19159.000000,0.008944,171.355989
1664211600,19018.000000,19066.000000,19018.000000,19066.000000,0.011372,216.815120
1664208000,19057.000000,19071.000000,19057.000000,19071.000000,0.007361,140.381631
1664204400,19136.000000,19136.000000,19030.000000,19047.000000,0.079153,1507.627191
1664200800,19249.000000,19261.000000,19157.000000,19157.000000,2.679565,51332.436283
1664197200,19064.000000,19194.000000,19063.000000,19193.000000,0.080648,1547.885125
1664193600,18866.000000,19119.000000,18840.000000,19100.000000,0.243331,4647.631459
1664190000,18986.000000,18986.000000,18820.000000,18820.000000,0.080379,1512.729392
1664186400,19104.000000,19143.000000,19053.000000,19129.000000,0.171479,3280.226191
1664182800,19207.000000,19265.000000,19128.000000,19128.000000,0.060630,1159.734466
1664179200,18999.000000,19263.000000,18978.000000,19263.000000,0.102135,1967.426698
1664175600,18784.000000,18921.000000,18784.000000,18908.000000,0.068438,1294.017952
1664172000,18799.000000,18807.000000,18707.000000,18732.000000,0.083904,1571.689728
1664168400,18793.000000,18812.000000,18748.000000,18810.000000,0.057321,1078.206317
1664164800,18859.000000,18859.000000,18808.000000,18817.000000,0.044491,837.178491
1664161200,18857.000000,18859.000000,18842.000000,18859.000000,0.083012,1565.515764
1664157600,18898.000000,18905.000000,18898.000000,18902.000000,0.012624,238.622061
1664154000,18747.000000,18868.000000,18747.000000,18868.000000,0.089770,1693.788096
1664150400,18769.000000,18910.000000,18769.000000,18815.000000,0.126330,2376.904783
1664146800,18787.000000,18832.000000,18787.000000,18832.000000,0.016126,303.688598
1664143200,18675.000000,18871.000000,18675.000000,18828.000000,0.149702,2818.590762
1664139600,18904.000000,18912.000000,18734.000000,18734.000000,0.059867,1121.545193
1664136000,18921.000000,18945.000000,18886.000000,18892.000000,0.806794,15241.946391
1664132400,18929.000000,18987.000000,18875.000000,18887.000000,0.151493,2861.238848
1664128800,19000.000000,19000.000000,18884.000000,18932.000000,0.573746,10862.153024
1664125200,18913.000000,19021.000000,18888.000000,19016.000000,0.562770,10701.635461
1664121600,19006.000000,19092.000000,19006.000000,19032.000000,0.372400,7087.518132
1664118000,18929.000000,19004.000000,18929.000000,19004.000000,0.138691,2635.677303
1664114400,18929.000000,18929.000000,18855.000000,18901.000000,0.164621,3111.492827
1664110800,19076.000000,19076.000000,18888.000000,18920.000000,0.111005,2100.206275
1664107200,19112.000000,19145.000000,19067.000000,19086.000000,0.217717,4155.343608
1664103600,19080.000000,19165.000000,19080.000000,19125.000000,0.540967,10345.995405
1664100000,19049.000000,19100.000000,19007.000000,19100.000000,0.074399,1421.023765
1664096400,19087.000000,19087.000000,19040.000000,19049.000000,0.547609,10431.394697
1664092800,19084.000000,19087.000000,19084.000000,19087.000000,0.032622,622.655541
1664089200,19016.000000,19121.000000,19016.000000,19081.000000,0.228174,4353.788094
1664085600,19018.000000,19018.000000,19018.000000,19018.000000,0.000000,0.000000
1664082000,19018.000000,19018.000000,19018.000000,19018.000000,0.000000,0.000000
1664078400,19010.000000,19018.000000,19010.000000,19018.000000,0.053790,1022.976318
1664074800,18951.000000,18951.000000,18951.000000,18951.000000,0.395773,7500.301893
1664071200,18937.000000,18937.000000,18937.000000,18937.000000,0.000000,0.000000
1664067600,18937.000000,18937.000000,18937.000000,18937.000000,0.000000,0.000000
1664064000,18937.000000,18937.000000,18937.000000,18937.000000,0.000790,14.955117
1664060400,18902.000000,18902.000000,18902.000000,18902.000000,3.195207,60395.807440
1664056800,18928.000000,18928.000000,18851.000000,18851.000000,0.069230,1305.056615
1664053200,19116.000000,19116.000000,18859.000000,18910.000000,0.622801,11777.167477
1664049600,19093.000000,19141.000000,19092.000000,19141.000000,0.091886,1758.781695
1664046000,19112.000000,19112.000000,19112.000000,19112.000000,0.005014,95.820114
1664042400,19090.000000,19104.000000,19073.000000,19104.000000,0.084311,1610.679828
1664038800,19122.000000,19122.000000,19110.000000,19110.000000,0.004349,83.110919
1664035200,19130.000000,19130.000000,19130.000000,19130.000000,0.009297,177.851610
1664031600,19074.000000,19074.000000,19074.000000,19074.000000,0.031000,591.294000
1664028000,19124.000000,19124.000000,19084.000000,19114.000000,0.166905,3190.225419
1664024400,19217.000000,19218.000000,19115.000000,19157.000000,0.289592,5547.705898
1664020800,19056.000000,19154.000000,19056.000000,19154.000000,0.284612,5451.459780
1664017200,19034.000000,19085.000000,19034.000000,19066.000000,0.037757,719.877059
1664013600,19041.000000,19055.000000,19005.000000,19034.000000,0.021234,404.167956
1664010000,19085.000000,19085.000000,18986.000000,19034.000000,0.099478,1893.464252
1664006400,18968.000000,19043.000000,18959.000000,19043.000000,0.014759,281.057732
1664002800,19078.000000,19078.000000,18939.000000,18996.000000,0.016409,311.696626
1663999200,19086.000000,19086.000000,19084.000000,19084.000000,0.011191,213.569044
1663995600,19104.000000,19141.000000,19104.000000,19141.000000,0.009880,189.116525
1663992000,19107.000000,19139.000000,19107.000000,19139.000000,0.057284,1096.358859
1663988400,19035.000000,19099.000000,19035.000000,19099.000000,0.011421,218.128151
1663984800,19094.000000,19094.000000,19094.000000,19094.000000,0.000621,11.857374
1663981200,19148.000000,19148.000000,19148.000000,19148.000000,0.002793,53.480364
1663977600,19280.000000,19280.000000,19113.000000,19113.000000,0.103570,1979.533601
1663974000,19311.000000,19357.000000,19311.000000,19353.000000,0.092738,1794.766062
1663970400,19026.000000,19298.000000,19026.000000,19298.000000,3.438877,66363.456065
1663966800,18867.000000,18998.000000,18808.000000,18998.000000,0.104315,1981.774850
1663963200,18836.000000,18939.000000,18836.000000,18913.000000,0.226525,4284.262408
1663959600,18738.000000,18769.000000,18663.000000,18769.000000,0.026312,493.843359
1663956000,18722.000000,18789.000000,18679.000000,18745.000000,0.197087,3694.404063
1663952400,18757.000000,18813.000000,18659.000000,18774.000000,0.543299,10199.897303
1663948800,18713.000000,18769.000000,18625.000000,18769.000000,0.188948,3546.373083
1663945200,18605.000000,18841.000000,18605.000000,18728.000000,0.775481,14523.210603
1663941600,18626.000000,18742.000000,18535.000000,18742.000000,3.453334,64722.390701
1663938000,18892.000000,19030.000000,18665.000000,18665.000000,0.354216,6611.434361
