unix,open,high,low,close,Volume BTC,Volume USDT
1742288400,83347.000000,83347.000000,83042.000000,83093.000000,1.685065,140017.100228
1742284800,83255.000000,83415.000000,83162.000000,83251.000000,0.008945,744.671037
1742281200,83004.000000,83004.000000,83004.000000,83004.000000,0.000788,65.411302
1742277600,82831.000000,82831.000000,82412.000000,82412.000000,0.001467,120.862143
1742274000,83017.000000,83022.000000,82972.000000,82977.000000,0.283782,23547.340845
1742270400,83099.000000,83099.000000,83099.000000,83099.000000,0.001364,113.359501
1742266800,83225.000000,83230.000000,83043.000000,83136.000000,0.254509,21158.885165
1742263200,83269.000000,83503.000000,83248.000000,83503.000000,0.138084,11530.411551
1742259600,83633.000000,83633.000000,83043.000000,83043.000000,0.006464,536.770852
1742256000,83942.000000,83942.000000,83881.000000,83881.000000,0.002295,192.499346
1742252400,83972.000000,84050.000000,83819.000000,84050.000000,0.035097,2949.922182
1742248800,84062.000000,84062.000000,84062.000000,84062.000000,0.018612,1564.539247
1742245200,83966.000000,84051.000000,83966.000000,84044.000000,0.014140,1188.410735
1742241600,84289.000000,84304.000000,83915.000000,84143.000000,0.209156,17598.994797
1742238000,84521.000000,84601.000000,84470.000000,84470.000000,0.147420,12452.590207
1742234400,84065.000000,84530.000000,84058.000000,84530.000000,0.319131,26976.183159
1742230800,83745.000000,84329.000000,83745.000000,84174.000000,0.049039,4127.781850
1742227200,83733.000000,83794.000000,83224.000000,83224.000000,0.157957,13145.808375
1742223600,82869.000000,83634.000000,82869.000000,83634.000000,0.022912,1916.233080
1742220000,82531.000000,83343.000000,82531.000000,83343.000000,0.140270,11690.541779
1742216400,83161.000000,83360.000000,83055.000000,83055.000000,0.231579,19233.801320
1742212800,83718.000000,83869.000000,83137.000000,83283.000000,1.310113,109110.160134
1742209200,83426.000000,83628.000000,83426.000000,83586.000000,0.018648,1558.740147
1742205600,83507.000000,83507.000000,83351.000000,83351.000000,0.015529,1294.388519
1742202000,83713.000000,83713.000000,83713.000000,83713.000000,0.047120,3944.556560
1742198400,83345.000000,83345.000000,83345.000000,83345.000000,0.000855,71.253307
1742194800,83411.000000,83557.000000,83411.000000,83557.000000,0.005072,423.816144
1742191200,82866.000000,83073.000000,82835.000000,83073.000000,0.013852,1150.731350
1742187600,83406.000000,83406.000000,83225.000000,83225.000000,0.160361,13346.041728
1742184000,83765.000000,83766.000000,83534.000000,83534.000000,0.012621,1054.289297
1742180400,83442.000000,83571.000000,83442.000000,83571.000000,0.001754,146.608605
1742176800,83224.000000,83281.000000,83162.000000,83162.000000,0.004497,373.971198
1742173200,83205.000000,83205.000000,82825.000000,83025.000000,0.094348,7833.251833
1742169600,82531.000000,83086.000000,82531.000000,83086.000000,0.254154,21116.668324
1742166000,82553.000000,82598.000000,82553.000000,82561.000000,0.001811,149.542739
1742162400,82827.000000,82833.000000,82171.000000,82171.000000,0.087623,7200.095006
