unix,open,high,low,close,Volume XRP,Volume BTC,return,log_return,SMA_24,volatility_24
1551225600,0.000083,0.000083,0.000081,0.000082,868596.099097,70.825326,0.000000,0.000000,0.000080,0.007884
1551139200,0.000086,0.000087,0.000083,0.000083,3862639.194566,321.448834,0.012195,0.012121,0.000081,0.008131
1551052800,0.000080,0.000088,0.000079,0.000086,5790605.315586,495.096754,0.036145,0.035507,0.000081,0.010597
1550966400,0.000081,0.000083,0.000079,0.000080,1993857.281795,158.671162,-0.069767,-0.072321,0.000081,0.018278
1550880000,0.000081,0.000081,0.000079,0.000081,851251.822175,68.661972,0.012500,0.012423,0.000081,0.018435
1550793600,0.000081,0.000082,0.000080,0.000081,725244.150094,58.679504,0.000000,0.000000,0.000081,0.018435
1550707200,0.000083,0.000084,0.000080,0.000081,988864.720508,80.414479,0.000000,0.000000,0.000081,0.018435
1550620800,0.000083,0.000084,0.000082,0.000083,2459922.126212,205.157505,0.024691,0.024391,0.000081,0.019043
1550534400,0.000083,0.000089,0.000082,0.000083,3130820.691811,258.605789,0.000000,0.000000,0.000082,0.018917
1550448000,0.000083,0.000084,0.000082,0.000083,1153981.811556,95.376597,0.000000,0.000000,0.000082,0.018917
1550361600,0.000083,0.000083,0.000082,0.000083,561142.627255,46.384050,0.000000,0.000000,0.000082,0.018779
1550275200,0.000084,0.000084,0.000083,0.000083,276149.510958,22.950786,0.000000,0.000000,0.000082,0.018560
1550188800,0.000083,0.000084,0.000083,0.000084,565382.923579,47.322551,0.012048,0.011976,0.000082,0.018674
1550102400,0.000084,0.000085,0.000083,0.000083,613564.041526,51.232597,-0.011905,-0.011976,0.000082,0.018892
1550016000,0.000084,0.000086,0.000083,0.000084,751002.116230,63.264418,0.012048,0.011976,0.000082,0.019004
1549929600,0.000083,0.000084,0.000083,0.000084,883452.073173,74.315988,0.000000,0.000000,0.000082,0.019004
1549843200,0.000084,0.000085,0.000083,0.000083,1127969.746809,93.858363,-0.011905,-0.011976,0.000083,0.019083
1549756800,0.000085,0.000085,0.000083,0.000084,837759.550277,70.380180,0.012048,0.011976,0.000083,0.019075
1549670400,0.000085,0.000086,0.000084,0.000085,551388.711658,47.083082,0.011905,0.011834,0.000083,0.019198
1549584000,0.000086,0.000088,0.000084,0.000085,1473164.500829,125.734590,0.000000,0.000000,0.000083,0.018974
1549497600,0.000085,0.000086,0.000085,0.000086,989541.390368,84.853174,0.011765,0.011696,0.000083,0.018961
1549411200,0.000086,0.000086,0.000085,0.000085,951898.088423,80.920856,-0.011628,-0.011696,0.000083,0.019166
1549324800,0.000087,0.000087,0.000086,0.000086,763168.214011,65.891944,0.011765,0.011696,0.000083,0.019156
1549238400,0.000087,0.000088,0.000086,0.000086,750445.642194,64.748450,0.000000,0.000000,0.000084,0.018938
1549152000,0.000089,0.000089,0.000087,0.000087,701343.989942,61.262398,0.011628,0.011561,0.000084,0.019029
1549065600,0.000088,0.000089,0.000088,0.000089,669878.144237,59.478480,0.022989,0.022728,0.000084,0.019388
1548979200,0.000090,0.000090,0.000087,0.000089,1623849.748379,143.791895,0.000000,0.000000,0.000084,0.018069
1548892800,0.000093,0.000096,0.000089,0.000090,3168290.764975,286.698631,0.011236,0.011173,0.000084,0.009861
1548806400,0.000084,0.000094,0.000084,0.000093,4365466.174532,405.202570,0.033333,0.032790,0.000085,0.011357
1548720000,0.000085,0.000086,0.000084,0.000084,1265375.879093,106.354843,-0.096774,-0.101783,0.000085,0.023839
1548633600,0.000086,0.000087,0.000083,0.000085,1313239.373369,111.756671,0.011905,0.011834,0.000085,0.023923
1548547200,0.000088,0.000088,0.000086,0.000086,795481.901340,68.681907,0.011765,0.011696,0.000085,0.023540
1548460800,0.000088,0.000088,0.000087,0.000088,486512.392791,42.725518,0.023256,0.022990,0.000086,0.023939
1548374400,0.000089,0.000089,0.000087,0.000088,1072939.999814,94.440179,0.000000,0.000000,0.000086,0.023939
1548288000,0.000089,0.000089,0.000088,0.000088,717119.994744,63.336038,0.000000,0.000000,0.000086,0.023939
1548201600,0.000089,0.000089,0.000088,0.000089,533589.718715,47.249370,0.011364,0.011300,0.000086,0.023995
1548115200,0.000090,0.000090,0.000088,0.000089,947863.524568,84.255589,0.000000,0.000000,0.000086,0.023928
1548028800,0.000089,0.000091,0.000089,0.000090,510062.649969,46.094362,0.011236,0.011173,0.000087,0.023780
1547942400,0.000089,0.000091,0.000088,0.000089,1008577.508777,90.267687,-0.011111,-0.011173,0.000087,0.023895
1547856000,0.000089,0.000090,0.000088,0.000089,609136.936896,54.194913,0.000000,0.000000,0.000087,0.023895
1547769600,0.000090,0.000090,0.000088,0.000089,429234.582285,38.266263,0.000000,0.000000,0.000087,0.023701
