unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1600041600,2020-09-14 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000023,1418046.797028,32.657618
1599955200,2020-09-13 00:00:00,XRP/BTC,0.000024,0.000024,0.000023,0.000023,960519.071216,22.504962
1599868800,2020-09-12 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000024,736633.430289,17.465579
1599782400,2020-09-11 00:00:00,XRP/BTC,0.000024,0.000024,0.000023,0.000023,986309.124272,23.059907
1599696000,2020-09-10 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000023,9973062.966194,234.366980
1599609600,2020-09-09 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000023,1051094.358805,24.574586
1599523200,2020-09-08 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000023,8871621.267630,207.152357
1599436800,2020-09-07 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000023,1674987.333923,39.110954
1599350400,2020-09-06 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000023,2048238.688894,47.846856
1599264000,2020-09-05 00:00:00,XRP/BTC,0.000024,0.000025,0.000023,0.000023,2735605.876519,63.903753
1599177600,2020-09-04 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000024,4108901.318984,99.887391
1599091200,2020-09-03 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000024,2829342.719406,68.073986
1599004800,2020-09-02 00:00:00,XRP/BTC,0.000025,0.000025,0.000023,0.000024,4478105.816379,108.370161
1598918400,2020-09-01 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000025,3129370.504825,77.545801
1598832000,2020-08-31 00:00:00,XRP/BTC,0.000024,0.000024,0.000024,0.000024,1563942.892013,37.691024
1598745600,2020-08-30 00:00:00,XRP/BTC,0.000024,0.000024,0.000024,0.000024,3392198.718012,81.955521
1598659200,2020-08-29 00:00:00,XRP/BTC,0.000024,0.000024,0.000023,0.000024,2171423.325751,51.875303
1598572800,2020-08-28 00:00:00,XRP/BTC,0.000023,0.000024,0.000023,0.000024,1927833.487935,45.458314
1598486400,2020-08-27 00:00:00,XRP/BTC,0.000024,0.000024,0.000023,0.000023,4005240.921487,93.602480
1598400000,2020-08-26 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000024,1326870.740052,32.057197
1598313600,2020-08-25 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000024,2175938.365701,53.179934
1598227200,2020-08-24 00:00:00,XRP/BTC,0.000024,0.000025,0.000024,0.000025,1849326.447989,45.474937
1598140800,2020-08-23 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000024,1337392.930620,32.712631
1598054400,2020-08-22 00:00:00,XRP/BTC,0.000024,0.000024,0.000024,0.000024,1845277.093810,45.209289
1597968000,2020-08-21 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000024,3965125.898797,95.995698
1597881600,2020-08-20 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,2183692.065239,53.806172
1597795200,2020-08-19 00:00:00,XRP/BTC,0.000025,0.000025,0.000024,0.000025,3268444.515372,80.599842
1597708800,2020-08-18 00:00:00,XRP/BTC,0.000026,0.000026,0.000025,0.000025,3367226.342547,85.359188
1597622400,2020-08-17 00:00:00,XRP/BTC,0.000026,0.000027,0.000025,0.000026,17681785.066559,453.537787
1597536000,2020-08-16 00:00:00,XRP/BTC,0.000025,0.000026,0.000025,0.000026,2579392.872368,65.903488
1597449600,2020-08-15 00:00:00,XRP/BTC,0.000026,0.000026,0.000025,0.000025,2412264.407759,60.885554
1597363200,2020-08-14 00:00:00,XRP/BTC,0.000025,0.000026,0.000025,0.000026,5689284.694979,145.133653
