unix,open,high,low,close,Volume ETH,Volume USDT
1733043600,3709.100000,3709.100000,3693.400000,3702.600000,0.559578,2071.894132
1733040000,3707.000000,3715.500000,3704.100000,3704.100000,32.975511,122144.591369
1733036400,3697.200000,3713.300000,3697.200000,3707.100000,0.113011,418.942782
1733032800,3697.100000,3705.100000,3696.100000,3701.600000,0.187884,695.472081
1733029200,3701.900000,3701.900000,3684.400000,3685.900000,1.011603,3728.668345
1733025600,3701.100000,3706.000000,3690.700000,3701.600000,2.369542,8771.095335
1733022000,3672.200000,3705.800000,3670.300000,3705.800000,1.124283,4166.367460
1733018400,3704.600000,3704.600000,3661.500000,3661.500000,14.633072,53578.994812
1733014800,3689.300000,3728.400000,3674.300000,3728.400000,2.131144,7945.757140
1733011200,3702.800000,3723.700000,3687.300000,3687.300000,1.354215,4993.398408
1733007600,3713.000000,3734.500000,3705.700000,3708.100000,0.364609,1352.005075
1733004000,3706.700000,3721.500000,3703.100000,3703.200000,1.002213,3711.396293
1733000400,3708.200000,3729.100000,3697.400000,3726.500000,11.012952,41039.766075
1732996800,3688.100000,3712.100000,3688.100000,3712.100000,2.305001,8556.393767
1732993200,3673.700000,3694.600000,3673.700000,3692.400000,0.788812,2912.610684
1732989600,3675.700000,3675.700000,3666.700000,3666.700000,0.300893,1103.283923
1732986000,3672.500000,3688.000000,3665.700000,3677.300000,0.594822,2187.338610
1732982400,3677.300000,3682.300000,3659.200000,3680.100000,7.371651,27128.412919
1732978800,3655.500000,3683.200000,3652.100000,3678.000000,1.310930,4821.601386
1732975200,3671.700000,3681.500000,3654.700000,3656.400000,2.196938,8032.884944
1732971600,3679.100000,3681.500000,3667.100000,3669.200000,1.928906,7077.542189
1732968000,3659.800000,3678.000000,3659.100000,3678.000000,2.606382,9586.274651
1732964400,3638.800000,3661.900000,3638.800000,3659.500000,4.506362,16491.033166
1732960800,3690.800000,3691.300000,3638.100000,3638.100000,14.436051,52519.797179
1732957200,3693.000000,3693.000000,3681.000000,3692.900000,7.553070,27892.732868
1732953600,3704.100000,3713.300000,3692.100000,3694.400000,1.600657,5913.466076
1732950000,3704.600000,3714.700000,3693.700000,3699.700000,2.465584,9121.922161
1732946400,3697.400000,3724.500000,3692.200000,3692.200000,16.918366,62465.992348
1732942800,3644.800000,3694.600000,3640.500000,3694.200000,19.164234,70796.512873
1732939200,3655.300000,3655.300000,3637.200000,3645.500000,2.564532,9349.001734
1732935600,3632.200000,3657.700000,3621.800000,3657.700000,3.682851,13470.762932
1732932000,3596.100000,3644.100000,3596.100000,3623.600000,3.225911,11689.411897
1732928400,3588.400000,3621.900000,3573.700000,3607.900000,5.479558,19769.696659
1732924800,3590.000000,3609.200000,3579.000000,3588.000000,2.803482,10058.893057
1732921200,3592.200000,3598.300000,3591.000000,3598.300000,0.915239,3293.304925
1732917600,3591.700000,3599.700000,3586.100000,3596.700000,1.378726,4958.864092
1732914000,3593.700000,3593.700000,3581.200000,3588.600000,1.513042,5429.702234
1732910400,3581.400000,3601.400000,3579.600000,3595.500000,88.588321,318519.306430
1732906800,3565.700000,3583.500000,3562.700000,3583.500000,13.677576,49013.593417
1732903200,3590.400000,3590.400000,3573.300000,3573.400000,39.638742,141645.079198
1732899600,3595.900000,3599.500000,3579.000000,3590.400000,9.845940,35350.861971
1732896000,3615.300000,3622.500000,3589.600000,3598.400000,41.613770,149742.989284
1732892400,3631.900000,3644.200000,3604.600000,3621.900000,7.956803,28818.745691
1732888800,3614.300000,3635.300000,3597.500000,3635.300000,7.020035,25519.933345
1732885200,3589.900000,3610.000000,3586.200000,3605.900000,5.991707,21605.495190
1732881600,3594.700000,3600.200000,3579.600000,3589.200000,2.232140,8011.597857
1732878000,3580.000000,3598.000000,3575.200000,3598.000000,2.910087,10470.494573
1732874400,3567.500000,3585.700000,3565.700000,3585.700000,5.777840,20717.599167
1732870800,3569.400000,3575.600000,3563.500000,3572.100000,6.556441,23420.261896
1732867200,3549.000000,3565.100000,3549.000000,3562.800000,1.020614,3636.244201
1732863600,3562.600000,3565.200000,3537.400000,3545.700000,3.612604,12809.208762
1732860000,3581.500000,3584.000000,3560.600000,3560.600000,9.969217,35496.392484
1732856400,3578.600000,3591.200000,3578.600000,3581.500000,0.972110,3481.613505
1732852800,3583.300000,3587.600000,3566.400000,3578.100000,0.656991,2350.778531
1732849200,3594.400000,3594.400000,3580.800000,3583.800000,1.239280,4441.330015
1732845600,3578.900000,3594.200000,3578.900000,3587.200000,1.146069,4111.178071
1732842000,3565.900000,3566.500000,3551.700000,3566.500000,3.306858,11793.908807
1732838400,3577.700000,3585.000000,3554.100000,3555.100000,7.062063,25106.339140
1732834800,3593.600000,3594.600000,3576.700000,3581.500000,5.989730,21452.217708
1732831200,3569.300000,3593.300000,3568.700000,3589.600000,4.677375,16789.905910
1732827600,3562.500000,3576.300000,3562.500000,3573.100000,2.870616,10256.996493
1732824000,3575.400000,3575.500000,3552.000000,3558.900000,4.851629,17266.460669
1732820400,3582.600000,3584.500000,3569.000000,3575.900000,1.132619,4050.132354
1732816800,3563.300000,3583.800000,3563.300000,3580.100000,3.117717,11161.737414
1732813200,3556.900000,3562.300000,3550.100000,3556.700000,3.818160,13580.048925
1732809600,3542.300000,3557.800000,3534.200000,3540.000000,7.196874,25476.933854
1732806000,3564.200000,3574.100000,3538.700000,3540.800000,40.206665,142363.760069
1732802400,3586.500000,3608.900000,3555.500000,3564.800000,12.182436,43427.949635
1732798800,3616.500000,3616.500000,3586.400000,3589.100000,5.093398,18280.716341
