unix,open,high,low,close,Volume UNI,Volume USD
1674147600,6.102460,6.102460,6.033050,6.033050,40.368150,243.543067
1674144000,6.064910,6.064910,6.064910,6.064910,32.256606,195.633414
1674140400,6.033050,6.033050,6.033050,6.033050,0.000000,0.000000
1674136800,6.033050,6.033050,6.033050,6.033050,0.000000,0.000000
1674133200,6.011290,6.048900,5.985560,6.033050,173.228465,1045.095992
1674129600,6.019190,6.019190,6.019190,6.019190,23.784197,143.161599
1674126000,6.060780,6.060780,6.060760,6.060760,23.155128,140.337674
1674122400,6.153840,6.153840,6.153840,6.153840,0.000000,0.000000
1674118800,6.145870,6.153840,6.145870,6.153840,273.522874,1683.216002
1674115200,6.136030,6.136030,6.136030,6.136030,17.619749,108.115308
1674111600,6.152570,6.152570,6.152570,6.152570,0.000000,0.000000
1674108000,6.152570,6.152570,6.152570,6.152570,0.000000,0.000000
1674104400,6.152570,6.152570,6.152570,6.152570,0.000000,0.000000
1674100800,6.152570,6.152570,6.152570,6.152570,43.841426,269.737445
1674097200,6.096570,6.096570,6.096420,6.096420,135.528435,826.238260
1674093600,6.096420,6.102360,6.096420,6.102360,119.371431,728.447448
1674090000,6.046890,6.046890,6.046890,6.046890,0.000000,0.000000
1674086400,6.046890,6.046890,6.046890,6.046890,0.000000,0.000000
1674082800,6.037020,6.046890,6.037020,6.046890,14.599404,88.280992
1674079200,6.064690,6.064710,6.051200,6.051200,76.786821,464.652412
1674075600,6.123040,6.123040,6.123040,6.123040,0.000000,0.000000
1674072000,6.182250,6.189910,6.123040,6.123040,452.974948,2773.583723
1674068400,6.233560,6.233560,6.233560,6.233560,15.567100,97.038452
1674064800,6.227880,6.227890,6.189450,6.189450,272.826235,1688.644341
1674061200,6.194990,6.265000,6.174230,6.265000,549.376510,3441.843836
1674057600,6.242940,6.242940,5.991480,6.101040,3029.649883,18484.015120
1674054000,6.783470,6.807900,6.167680,6.258780,4149.977615,25973.796899
1674050400,6.584350,6.749790,6.575580,6.749790,3528.157142,23814.319792
1674046800,6.367080,6.564960,6.367080,6.564960,757.549780,4973.284001
1674043200,6.403970,6.403970,6.403970,6.403970,10.468694,67.041202
1674039600,6.361260,6.361260,6.361260,6.361260,0.000000,0.000000
1674036000,6.361260,6.361260,6.361260,6.361260,95.696298,608.749034
1674032400,6.398100,6.398100,6.398100,6.398100,6.329965,40.499748
1674028800,6.421420,6.421420,6.381690,6.396180,215.028739,1375.362519
1674025200,6.487350,6.487350,6.487350,6.487350,0.000000,0.000000
1674021600,6.487350,6.487350,6.487350,6.487350,0.000000,0.000000
1674018000,6.487350,6.487350,6.487350,6.487350,15.567100,100.989226
1674014400,6.493180,6.493180,6.493180,6.493180,116.010296,753.275732
1674010800,6.413640,6.413640,6.413640,6.413640,0.000000,0.000000
1674007200,6.413640,6.428740,6.413640,6.413640,171.656299,1100.941705
1674003600,6.369010,6.407820,6.369010,6.369010,888.245253,5657.242897
1674000000,6.374080,6.374080,6.374080,6.374080,0.000000,0.000000
1673996400,6.374080,6.374080,6.374080,6.374080,0.000000,0.000000
1673992800,6.426310,6.427220,6.367080,6.374080,701.644903,4472.340742
1673989200,6.497050,6.497050,6.497050,6.497050,0.000000,0.000000
1673985600,6.497050,6.497050,6.497050,6.497050,12.894599,83.776852
1673982000,6.416290,6.416290,6.416290,6.416290,0.000000,0.000000
1673978400,6.416290,6.416290,6.416290,6.416290,11.406400,73.186770
1673974800,6.404470,6.404470,6.402500,6.402500,13.663207,87.478686
1673971200,6.432050,6.435970,6.432050,6.435970,22.394680,144.131489
1673967600,6.536470,6.542870,6.469480,6.475850,1010.166200,6541.684787
1673964000,6.556200,6.575520,6.556200,6.575520,39.734375,261.274174
1673960400,6.533060,6.533060,6.533060,6.533060,14.596989,95.363005
1673956800,6.602530,6.616040,6.550000,6.550000,44.543630,291.760774
1673953200,6.567790,6.567790,6.567790,6.567790,0.000000,0.000000
1673949600,6.567790,6.567790,6.567790,6.567790,0.000000,0.000000
1673946000,6.567790,6.567790,6.567790,6.567790,0.000000,0.000000
1673942400,6.567790,6.567790,6.567790,6.567790,0.000000,0.000000
1673938800,6.565870,6.569730,6.565870,6.567790,828.325400,5440.267279
1673935200,6.480920,6.480920,6.480920,6.480920,0.000000,0.000000
1673931600,6.480920,6.480920,6.480920,6.480920,0.000000,0.000000
1673928000,6.480920,6.480920,6.480920,6.480920,0.000000,0.000000
1673924400,6.480920,6.480920,6.480920,6.480920,0.000000,0.000000
1673920800,6.480920,6.480920,6.480920,6.480920,0.000000,0.000000
1673917200,6.469370,6.480920,6.467430,6.480920,196.233691,1271.774854
1673913600,6.562000,6.562000,6.562000,6.562000,0.000000,0.000000
1673910000,6.556210,6.562000,6.556210,6.562000,157.783715,1035.376737
1673906400,6.635700,6.635700,6.635700,6.635700,0.000000,0.000000
1673902800,6.644550,6.644550,6.635650,6.635700,157.605143,1045.820445
1673899200,6.554490,6.687900,6.554490,6.687900,77.679833,519.514953
1673895600,6.467430,6.467430,6.467430,6.467430,0.000000,0.000000
1673892000,6.467430,6.467430,6.467430,6.467430,0.000000,0.000000
1673888400,6.437710,6.467430,6.436050,6.467430,271.966807,1758.926284
1673884800,6.399510,6.428830,6.372200,6.428830,7392.507438,47525.173591
1673881200,6.396000,6.417250,6.285670,6.401810,1387.226107,8880.757963
1673877600,6.372810,6.451980,6.369000,6.438390,2600.837653,16745.207139
1673874000,6.409530,6.459700,6.394080,6.424970,3060.769548,19665.352521
1673870400,6.455820,6.467420,6.409530,6.409530,1621.632363,10393.901282
1673866800,6.471300,6.471300,6.471300,6.471300,0.000000,0.000000
1673863200,6.483370,6.499560,6.471300,6.471300,289.901637,1876.040463
1673859600,6.447120,6.486730,6.447120,6.486730,499.431396,3239.676619
1673856000,6.624260,6.624260,6.444260,6.467270,899.009240,5814.135488
1673852400,6.627620,6.627620,6.627620,6.627620,20.962617,138.932262
1673848800,6.689380,6.693830,6.689380,6.693830,60.999905,408.322994
1673845200,6.658510,6.689380,6.658510,6.689380,15.769609,105.488906
1673841600,6.614120,6.614120,6.614120,6.614120,60.548425,400.474550
1673838000,6.644990,6.644990,6.560070,6.560070,294.048821,1928.980850
1673834400,6.690160,6.690160,6.690160,6.690160,15.097700,101.006029
1673830800,6.689380,6.691310,6.689380,6.691310,179.630000,1201.960015
1673827200,6.637290,6.643060,6.612190,6.621830,319.594022,2116.297283
1673823600,6.596740,6.596740,6.596740,6.596740,0.000000,0.000000
1673820000,6.596740,6.596740,6.596740,6.596740,2.275500,15.010882
1673816400,6.629550,6.629550,6.629550,6.629550,59.737775,396.034568
1673812800,6.555760,6.589200,6.555760,6.589200,20.220707,133.238283
1673809200,6.555780,6.555780,6.555780,6.555780,0.000000,0.000000
1673805600,6.521400,6.555780,6.521400,6.555780,29.029900,190.313638
1673802000,6.589060,6.619900,6.589060,6.619900,62.939702,416.654535
1673798400,6.587100,6.587100,6.534980,6.534980,299.432629,1956.786241
1673794800,6.631900,6.631900,6.631900,6.631900,0.000000,0.000000
1673791200,6.631900,6.631900,6.631900,6.631900,15.249900,101.135812
1673787600,6.534980,6.534980,6.534980,6.534980,76.282481,498.504490
1673784000,6.482910,6.482910,6.467430,6.467430,295.141716,1908.808389
1673780400,6.424170,6.424170,6.424170,6.424170,0.000000,0.000000
1673776800,6.424170,6.424170,6.424170,6.424170,15.249900,97.967950
1673773200,6.404490,6.425390,6.404490,6.425390,63.135229,405.668470
1673769600,6.455690,6.455690,6.455690,6.455690,15.249900,98.448627
1673766000,6.516760,6.516760,6.516760,6.516760,116.864534,761.578122
1673762400,6.546300,6.546300,6.546300,6.546300,0.000000,0.000000
1673758800,6.546300,6.546300,6.546300,6.546300,0.000000,0.000000
1673755200,6.532510,6.546300,6.532510,6.546300,210.890205,1380.550552
1673751600,6.504930,6.522670,6.504930,6.522670,212.762740,1387.781141
1673748000,6.518720,6.518720,6.518720,6.518720,0.000000,0.000000
1673744400,6.539410,6.539410,6.518720,6.518720,45.062262,293.748267
1673740800,6.598520,6.598520,6.475390,6.475390,235.819306,1527.021973
1673737200,6.607360,6.637020,6.607360,6.637020,34.253071,227.338316
1673733600,6.587000,6.587000,6.574870,6.574870,15.985622,105.103384
1673730000,6.545910,6.545910,6.545910,6.545910,0.000000,0.000000
1673726400,6.545910,6.545910,6.545910,6.545910,0.000000,0.000000
1673722800,6.562880,6.562880,6.545910,6.545910,206.785418,1353.598733
1673719200,6.569660,6.569660,6.569660,6.569660,0.000000,0.000000
1673715600,6.569660,6.569660,6.569660,6.569660,9.232100,60.651758
1673712000,6.603280,6.606380,6.603280,6.605810,68.289425,451.106969
1673708400,6.611320,6.611320,6.607150,6.607150,38.037079,251.316685
1673704800,6.585710,6.667210,6.465540,6.465540,1346.901527,8708.445702
1673701200,6.540320,6.544610,6.540320,6.544610,40.499992,265.056652
1673697600,6.627050,6.643740,6.574100,6.624090,543.362743,3599.283713
1673694000,6.622440,6.632730,6.574570,6.623810,799.820694,5297.860314
1673690400,6.544320,6.611890,6.528690,6.611890,288.881428,1910.052225
1673686800,6.824770,6.824770,6.385200,6.577990,2639.867912,17365.024724
1673683200,6.805450,6.850340,6.805440,6.840090,145.843327,997.581483
1673679600,6.903350,6.903350,6.776880,6.787050,323.174505,2193.401527
1673676000,6.793240,6.944990,6.774840,6.944990,701.929535,4874.893599
1673672400,6.754440,6.795250,6.697050,6.795250,698.793464,4748.476286
1673668800,6.698890,6.732000,6.698890,6.732000,521.140329,3508.316693
