unix,open,high,low,close,Volume UNI,Volume USD,return,log_return,SMA_24,volatility_24
1710547200,13.063500,13.173200,11.846300,12.089800,10214.081652,123486.204356,-0.026649,-0.027010,11.901221,0.048316
1710460800,14.026510,14.026510,12.149170,13.001570,72910.126089,947946.108053,0.080206,0.077151,11.960220,0.050526
1710460800,13.887700,14.112300,12.227100,13.063500,8072.690781,105457.596018,0.080539,0.077460,11.962200,0.050542
1710374400,14.197810,14.473000,13.212340,13.952480,33427.478499,466396.225202,0.073138,0.070587,12.066737,0.052025
1710374400,14.318400,14.600000,13.201700,13.887700,6936.639115,96333.963037,0.063092,0.061181,12.065758,0.051578
1710288000,14.034000,14.727470,13.788990,14.200830,54848.777941,778898.171255,0.017800,0.017643,12.185655,0.051960
1710288000,14.111400,14.739200,13.747200,14.318400,5192.174467,74343.630888,0.031013,0.030542,12.193392,0.051527
1710201600,14.324390,14.526000,13.008190,14.051820,29919.986871,420430.269919,-0.010493,-0.010548,12.315346,0.051223
1710201600,14.455800,14.563200,13.094800,14.111400,10206.876249,144033.313500,-0.014457,-0.014562,12.325446,0.051156
1710115200,14.247660,14.636330,13.550000,14.439810,52784.464050,762197.631830,0.027611,0.027237,12.459621,0.051291
1710115200,14.203800,15.090800,13.587000,14.455800,15308.617589,221298.314143,0.024406,0.024113,12.470387,0.051183
1710028800,14.294870,14.403000,13.545810,14.208110,23268.540466,330601.982484,-0.016046,-0.016176,12.597653,0.051467
1710028800,14.260500,14.513600,13.577900,14.203800,7374.359755,104743.931088,-0.017432,-0.017586,12.608450,0.051387
1709942400,14.575940,15.013470,13.931290,14.230380,20695.783131,294508.858353,0.001567,0.001566,12.719080,0.051201
1709942400,14.617800,15.051700,13.944000,14.260500,5919.307170,84412.279898,0.003992,0.003984,12.731479,0.051110
1709856000,15.033910,15.420500,14.293110,14.688040,21229.706205,311822.773920,0.032161,0.031654,12.813353,0.047988
1709856000,14.939500,15.463900,14.243100,14.617800,5595.919870,81800.037476,0.025055,0.024746,12.821454,0.047453
1709769600,15.446890,15.491360,14.633010,14.920800,36843.161663,549729.446547,0.015847,0.015723,12.895217,0.047456
1709769600,15.310800,15.557000,14.561100,14.939500,8380.323922,125197.849233,0.022007,0.021769,12.905688,0.047152
